,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
258,No account,15,Existing credits paid duly till now,used car,3812,100-500 DM,employed under 1 year,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,own,1,skilled employee/official,1,yes,yes,1
259,No account,11,Has credits in other banks,radio/TV,1154,100-500 DM,unemployed,4,female divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,1
260,0 DM,12,Existing credits paid duly till now,furnitures,1657,<100 DM,employed from 1 to 4 years,2,male single,none,2,real estate,27,none,own,1,skilled employee/official,1,none,yes,1
261,0 DM,24,Existing credits paid duly till now,radio/TV,1603,<100 DM,employed 7 years or more,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",55,none,own,1,skilled employee/official,1,none,yes,1
262,0 DM,18,Has credits in other banks,new car,5302,<100 DM,employed 7 years or more,2,male single,none,4,unknown/no property,36,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,1
263,No account,12,Has credits in other banks,education,2748,<100 DM,employed 7 years or more,2,female divorced/separated/married,none,4,unknown/no property,57,bank,for free,3,unskilled - resident,1,none,yes,1
264,No account,10,Has credits in other banks,new car,1231,<100 DM,employed 7 years or more,3,male single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,1
265,<200 DM,15,Existing credits paid duly till now,radio/TV,802,<100 DM,employed 7 years or more,4,male single,none,3,"car or other, not in attribute 6",37,none,own,1,skilled employee/official,2,none,yes,2
266,No account,36,Has credits in other banks,business,6304,Unknown/No savings,employed 7 years or more,4,male single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes,1
267,No account,24,Existing credits paid duly till now,radio/TV,1533,<100 DM,employed under 1 year,4,female divorced/separated/married,none,3,"car or other, not in attribute 6",38,stores,own,1,skilled employee/official,1,yes,yes,1
268,0 DM,14,Existing credits paid duly till now,new car,8978,<100 DM,employed 7 years or more,1,male divorced/separated,none,4,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,2
269,No account,24,Existing credits paid duly till now,radio/TV,999,Unknown/No savings,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",25,none,own,2,skilled employee/official,1,none,yes,1
270,No account,18,Existing credits paid duly till now,new car,2662,Unknown/No savings,employed from 4 to 7 years,4,male single,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,no,1
271,No account,12,Has credits in other banks,furnitures,1402,500-1000 DM,employed from 4 to 7 years,3,female divorced/separated/married,none,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee/official,1,yes,yes,1
272,<200 DM,48,All credits paid duly,new car,12169,Unknown/No savings,unemployed,4,male single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
273,<200 DM,48,Existing credits paid duly till now,radio/TV,3060,<100 DM,employed from 4 to 7 years,4,male single,none,4,real estate,28,none,own,2,skilled employee/official,1,none,yes,2
274,0 DM,30,Existing credits paid duly till now,repairs,11998,<100 DM,employed under 1 year,1,male divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled - resident,1,yes,yes,2
275,No account,9,Existing credits paid duly till now,radio/TV,2697,<100 DM,employed from 1 to 4 years,1,male single,none,2,real estate,32,none,own,1,skilled employee/official,2,none,yes,1
276,No account,18,Has credits in other banks,radio/TV,2404,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,2,skilled employee/official,1,none,yes,1
277,0 DM,12,Existing credits paid duly till now,furnitures,1262,Unknown/No savings,employed 7 years or more,2,male divorced/separated,none,4,building society savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1
278,No account,6,Existing credits paid duly till now,furnitures,4611,<100 DM,employed under 1 year,1,female divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,yes,2
279,No account,24,Existing credits paid duly till now,radio/TV,1901,100-500 DM,employed from 1 to 4 years,4,male single,none,4,"car or other, not in attribute 6",29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
280,No account,15,Has credits in other banks,used car,3368,>1000 DM,employed 7 years or more,3,male single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,yes,yes,1
281,No account,12,Existing credits paid duly till now,furnitures,1574,<100 DM,employed from 1 to 4 years,4,male single,none,2,real estate,50,none,own,1,skilled employee/official,1,none,yes,1
282,>=200 DM,18,All credits paid duly,radio/TV,1445,Unknown/No savings,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",49,bank,own,1,unskilled - resident,1,none,yes,1
283,No account,15,Has credits in other banks,furnitures,1520,Unknown/No savings,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,none,yes,1
284,<200 DM,24,Has credits in other banks,new car,3878,100-500 DM,employed under 1 year,4,male divorced/separated,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee/official,1,yes,yes,1
285,0 DM,47,Existing credits paid duly till now,new car,10722,<100 DM,employed under 1 year,1,female divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1
286,0 DM,48,Existing credits paid duly till now,used car,4788,<100 DM,employed from 4 to 7 years,4,male single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,none,yes,1
287,<200 DM,48,Delay in paying in past,others,7582,100-500 DM,unemployed,2,male single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
288,<200 DM,12,Existing credits paid duly till now,radio/TV,1092,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes,1
289,0 DM,24,Delay in paying in past,radio/TV,1024,<100 DM,employed under 1 year,4,male married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,none,yes,2
290,No account,12,Existing credits paid duly till now,business,1076,<100 DM,employed from 1 to 4 years,2,male married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no,1
291,<200 DM,36,Existing credits paid duly till now,used car,9398,<100 DM,employed under 1 year,1,male married/widowed,none,4,"car or other, not in attribute 6",28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
292,0 DM,24,Has credits in other banks,used car,6419,<100 DM,employed 7 years or more,2,female divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
293,>=200 DM,42,Has credits in other banks,used car,4796,<100 DM,employed 7 years or more,4,male single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,none,yes,1
294,No account,48,Has credits in other banks,business,7629,Unknown/No savings,employed 7 years or more,4,male divorced/separated,none,2,"car or other, not in attribute 6",46,bank,own,2,management/self-employed/highly qualified employee/officer,2,none,yes,1
295,<200 DM,48,Existing credits paid duly till now,furnitures,9960,<100 DM,employed under 1 year,1,female divorced/separated/married,none,2,"car or other, not in attribute 6",26,none,own,1,skilled employee/official,1,yes,yes,2
296,No account,12,Existing credits paid duly till now,used car,4675,Unknown/No savings,employed under 1 year,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee/official,1,none,yes,1
297,No account,10,Existing credits paid duly till now,new car,1287,Unknown/No savings,employed 7 years or more,4,male single,co-applicant,2,building society savings agreement/life insurance,45,none,own,1,unskilled - resident,1,none,no,1
298,No account,18,Existing credits paid duly till now,furnitures,2515,<100 DM,employed from 1 to 4 years,3,male single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes,1
299,<200 DM,21,Has credits in other banks,furnitures,2745,>1000 DM,employed from 4 to 7 years,3,male single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee/official,1,yes,yes,1
300,No account,6,Existing credits paid duly till now,new car,672,<100 DM,unemployed,1,female divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,1
301,<200 DM,36,No credits taken,radio/TV,3804,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,1,yes,yes,2
302,>=200 DM,24,Has credits in other banks,new car,1344,Unknown/No savings,employed from 4 to 7 years,4,male single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,2
303,0 DM,10,Has credits in other banks,new car,1038,<100 DM,employed from 4 to 7 years,4,male single,co-applicant,3,building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,yes,yes,1
304,No account,48,Has credits in other banks,new car,10127,500-1000 DM,employed from 1 to 4 years,2,male single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,none,yes,2
305,No account,6,Existing credits paid duly till now,furnitures,1543,>1000 DM,employed from 1 to 4 years,4,male divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,none,yes,1
306,No account,30,Existing credits paid duly till now,used car,4811,Unknown/No savings,employed from 4 to 7 years,2,female divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled - resident,1,none,yes,1
307,0 DM,12,Existing credits paid duly till now,radio/TV,727,100-500 DM,employed under 1 year,4,male married/widowed,none,3,unknown/no property,33,none,own,1,unskilled - resident,1,yes,yes,2
308,<200 DM,8,Existing credits paid duly till now,furnitures,1237,<100 DM,employed from 1 to 4 years,3,female divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,none,yes,2
309,<200 DM,9,Existing credits paid duly till now,new car,276,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,1
310,<200 DM,48,Existing credits paid duly till now,others,5381,Unknown/No savings,unemployed,3,male single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled - non-resident,1,yes,yes,1
311,No account,24,Existing credits paid duly till now,furnitures,5511,100-500 DM,employed from 1 to 4 years,4,male single,none,1,"car or other, not in attribute 6",25,stores,own,1,skilled employee/official,1,none,yes,1
312,>=200 DM,24,Existing credits paid duly till now,furnitures,3749,<100 DM,employed under 1 year,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,own,1,skilled employee/official,1,none,yes,1
313,<200 DM,12,Existing credits paid duly till now,new car,685,<100 DM,employed from 4 to 7 years,2,male married/widowed,none,3,"car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes,2
314,>=200 DM,4,Existing credits paid duly till now,new car,1494,Unknown/No savings,employed under 1 year,1,male single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,1
315,0 DM,36,All credits paid duly,furnitures,2746,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",31,bank,own,1,skilled employee/official,1,none,yes,2
316,0 DM,12,Existing credits paid duly till now,furnitures,708,<100 DM,employed from 1 to 4 years,2,male single,guarantor,3,building society savings agreement/life insurance,38,none,own,1,unskilled - resident,2,none,yes,1
317,<200 DM,24,Existing credits paid duly till now,furnitures,4351,Unknown/No savings,employed from 1 to 4 years,1,female divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1
318,No account,12,Has credits in other banks,education,701,<100 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",32,none,own,2,skilled employee/official,1,none,yes,1
319,0 DM,15,Delay in paying in past,furnitures,3643,<100 DM,employed 7 years or more,1,female divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,none,yes,1
320,<200 DM,30,Has credits in other banks,new car,4249,<100 DM,unemployed,4,male married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/self-employed/highly qualified employee/officer,1,none,yes,2
321,0 DM,24,Existing credits paid duly till now,radio/TV,1938,<100 DM,employed under 1 year,4,male divorced/separated,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,none,yes,2
322,0 DM,24,Existing credits paid duly till now,used car,2910,<100 DM,employed from 4 to 7 years,2,male single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
323,0 DM,18,Existing credits paid duly till now,furnitures,2659,>1000 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,1,none,yes,1
324,No account,18,Has credits in other banks,new car,1028,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,none,yes,1
325,0 DM,8,Has credits in other banks,new car,3398,<100 DM,employed from 4 to 7 years,1,male single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,1
326,No account,12,Has credits in other banks,furnitures,5801,Unknown/No savings,employed 7 years or more,2,male single,none,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,yes,yes,1
327,No account,24,Existing credits paid duly till now,new car,1525,>1000 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee/official,2,yes,yes,1
328,>=200 DM,36,Existing credits paid duly till now,radio/TV,4473,<100 DM,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,1,none,yes,1
329,<200 DM,6,Existing credits paid duly till now,radio/TV,1068,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",28,none,own,1,skilled employee/official,2,none,yes,1
330,0 DM,24,Has credits in other banks,used car,6615,<100 DM,unemployed,2,male single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
331,No account,18,Has credits in other banks,education,1864,100-500 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,none,yes,2
332,<200 DM,60,Existing credits paid duly till now,new car,7408,100-500 DM,employed under 1 year,4,female divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,2
333,No account,48,Has credits in other banks,used car,11590,100-500 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",24,bank,rent,2,unskilled - resident,1,none,yes,2
334,0 DM,24,No credits taken,furnitures,4110,<100 DM,employed 7 years or more,3,male single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,none,yes,2
335,0 DM,6,Has credits in other banks,furnitures,3384,<100 DM,employed from 1 to 4 years,1,male divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
336,<200 DM,13,Existing credits paid duly till now,radio/TV,2101,<100 DM,employed under 1 year,2,female divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,own,1,unskilled - resident,1,none,yes,1
337,0 DM,15,Existing credits paid duly till now,household appliances,1275,Unknown/No savings,employed from 1 to 4 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",24,none,rent,1,skilled employee/official,1,none,yes,2
338,0 DM,24,Existing credits paid duly till now,furnitures,4169,<100 DM,employed from 1 to 4 years,4,male single,none,4,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,none,yes,1
339,<200 DM,10,Existing credits paid duly till now,furnitures,1521,<100 DM,employed from 1 to 4 years,4,male divorced/separated,none,2,"car or other, not in attribute 6",31,none,own,1,unskilled - resident,1,none,yes,1
340,<200 DM,24,Has credits in other banks,education,5743,<100 DM,employed under 1 year,2,female divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,yes,yes,1
341,0 DM,21,Existing credits paid duly till now,furnitures,3599,<100 DM,employed from 4 to 7 years,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes,1
342,<200 DM,18,Existing credits paid duly till now,radio/TV,3213,500-1000 DM,employed under 1 year,1,male married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,none,yes,1
343,<200 DM,18,Existing credits paid duly till now,business,4439,<100 DM,employed 7 years or more,1,male single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
344,>=200 DM,10,Existing credits paid duly till now,new car,3949,<100 DM,employed under 1 year,1,male single,guarantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,none,yes,1
345,No account,15,Has credits in other banks,radio/TV,1459,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",43,none,own,1,unskilled - resident,1,none,yes,1
346,<200 DM,13,Has credits in other banks,radio/TV,882,<100 DM,employed under 1 year,4,male single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,none,yes,1
347,<200 DM,24,Existing credits paid duly till now,radio/TV,3758,500-1000 DM,unemployed,1,female divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled - non-resident,1,none,yes,1
348,No account,6,Delay in paying in past,business,1743,100-500 DM,employed from 1 to 4 years,1,male single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,1
349,<200 DM,9,Has credits in other banks,education,1136,>1000 DM,employed 7 years or more,4,male single,none,3,unknown/no property,32,none,for free,2,skilled employee/official,2,none,yes,2
350,No account,9,Existing credits paid duly till now,household appliances,1236,<100 DM,employed under 1 year,1,female divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,yes,yes,1
351,<200 DM,9,Existing credits paid duly till now,furnitures,959,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,2,"car or other, not in attribute 6",29,none,own,1,skilled employee/official,1,none,no,2
352,No account,18,Has credits in other banks,used car,3229,Unknown/No savings,unemployed,2,male single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
353,0 DM,12,No credits taken,radio/TV,6199,<100 DM,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,yes,yes,2
354,No account,10,Existing credits paid duly till now,education,727,500-1000 DM,employed 7 years or more,4,male single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,1,yes,yes,1
355,<200 DM,24,Existing credits paid duly till now,new car,1246,<100 DM,employed under 1 year,4,male single,none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes,2
356,No account,12,Has credits in other banks,radio/TV,2331,Unknown/No savings,employed 7 years or more,1,male single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,yes,yes,1
357,No account,36,Delay in paying in past,radio/TV,4463,<100 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",26,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
358,No account,12,Existing credits paid duly till now,radio/TV,776,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,none,yes,1
359,0 DM,30,Existing credits paid duly till now,furnitures,2406,<100 DM,employed from 4 to 7 years,4,female divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,none,yes,2
360,<200 DM,18,Existing credits paid duly till now,education,1239,Unknown/No savings,employed from 1 to 4 years,4,male single,none,4,unknown/no property,61,none,for free,1,skilled employee/official,1,none,yes,1
361,>=200 DM,12,Existing credits paid duly till now,radio/TV,3399,Unknown/No savings,employed 7 years or more,2,male single,none,3,"car or other, not in attribute 6",37,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
362,>=200 DM,12,Delay in paying in past,new car,2247,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",36,stores,own,2,skilled employee/official,1,yes,yes,1
363,No account,6,Existing credits paid duly till now,furnitures,1766,<100 DM,employed from 1 to 4 years,1,male married/widowed,none,2,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,1
364,0 DM,18,Existing credits paid duly till now,furnitures,2473,<100 DM,unemployed,4,male single,none,1,"car or other, not in attribute 6",25,none,own,1,unemployed/unskilled - non-resident,1,none,yes,2
365,No account,12,Existing credits paid duly till now,business,1542,<100 DM,employed from 4 to 7 years,2,male single,none,4,"car or other, not in attribute 6",36,none,own,1,skilled employee/official,1,yes,yes,1
366,No account,18,Has credits in other banks,used car,3850,<100 DM,employed from 4 to 7 years,3,male single,none,1,"car or other, not in attribute 6",27,none,own,2,skilled employee/official,1,none,yes,1
367,0 DM,18,Existing credits paid duly till now,furnitures,3650,<100 DM,employed under 1 year,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",22,none,rent,1,skilled employee/official,1,none,yes,1
368,0 DM,36,Existing credits paid duly till now,furnitures,3446,<100 DM,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,2,none,yes,2
369,<200 DM,18,Existing credits paid duly till now,furnitures,3001,<100 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,none,yes,1
370,No account,36,Existing credits paid duly till now,new car,3079,Unknown/No savings,employed from 1 to 4 years,4,male single,none,4,real estate,36,none,own,1,skilled employee/official,1,none,yes,1
371,No account,18,Has credits in other banks,radio/TV,6070,<100 DM,employed 7 years or more,3,male single,none,4,"car or other, not in attribute 6",33,none,own,2,skilled employee/official,1,yes,yes,1
372,No account,10,Has credits in other banks,furnitures,2146,<100 DM,employed under 1 year,1,female divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee/official,1,none,yes,1
373,No account,60,Has credits in other banks,new car,13756,Unknown/No savings,employed 7 years or more,2,male single,none,4,unknown/no property,63,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
374,<200 DM,60,All credits paid duly,others,14782,100-500 DM,employed 7 years or more,3,female divorced/separated/married,none,4,unknown/no property,60,bank,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
375,0 DM,48,All credits paid duly,business,7685,<100 DM,employed from 4 to 7 years,2,female divorced/separated/married,guarantor,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee/official,1,none,yes,2
376,No account,18,Delay in paying in past,radio/TV,2320,<100 DM,unemployed,2,male married/widowed,none,3,real estate,34,none,own,2,skilled employee/official,1,none,yes,1
377,No account,7,Delay in paying in past,radio/TV,846,Unknown/No savings,employed 7 years or more,3,male single,none,4,unknown/no property,36,none,for free,1,skilled employee/official,1,none,yes,1
378,<200 DM,36,Existing credits paid duly till now,new car,14318,<100 DM,employed 7 years or more,4,male single,none,2,unknown/no property,57,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
379,No account,6,Has credits in other banks,new car,362,100-500 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",52,none,own,2,unskilled - resident,1,none,yes,1
380,0 DM,20,Existing credits paid duly till now,furnitures,2212,Unknown/No savings,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee/official,1,yes,yes,1
381,<200 DM,18,Existing credits paid duly till now,used car,12976,<100 DM,unemployed,3,female divorced/separated/married,none,4,unknown/no property,38,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
382,No account,22,Existing credits paid duly till now,new car,1283,Unknown/No savings,employed from 4 to 7 years,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,25,none,rent,1,skilled employee/official,1,none,yes,1
383,>=200 DM,12,Existing credits paid duly till now,new car,1330,<100 DM,employed under 1 year,4,male single,none,1,real estate,26,none,own,1,skilled employee/official,1,none,yes,1
384,No account,30,Delay in paying in past,business,4272,100-500 DM,employed from 1 to 4 years,2,male single,none,2,building society savings agreement/life insurance,26,none,own,2,unskilled - resident,1,none,yes,1
385,No account,18,Has credits in other banks,radio/TV,2238,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,own,2,skilled employee/official,1,none,yes,1
386,No account,18,Existing credits paid duly till now,radio/TV,1126,Unknown/No savings,employed under 1 year,4,female divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee/official,1,yes,yes,1
387,<200 DM,18,Has credits in other banks,furnitures,7374,<100 DM,unemployed,4,male single,none,4,building society savings agreement/life insurance,40,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
388,<200 DM,15,Has credits in other banks,business,2326,500-1000 DM,employed from 1 to 4 years,2,male single,none,4,"car or other, not in attribute 6",27,bank,own,1,skilled employee/official,1,none,yes,1
389,No account,9,Existing credits paid duly till now,business,1449,<100 DM,employed from 4 to 7 years,3,female divorced/separated/married,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee/official,1,none,yes,1
390,No account,18,Existing credits paid duly till now,new car,1820,<100 DM,employed from 1 to 4 years,2,male married/widowed,none,2,building society savings agreement/life insurance,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
391,<200 DM,12,Existing credits paid duly till now,furnitures,983,>1000 DM,employed under 1 year,1,female divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes,1
392,0 DM,36,Existing credits paid duly till now,new car,3249,<100 DM,employed from 4 to 7 years,2,male single,none,4,unknown/no property,39,bank,for free,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1
393,0 DM,6,Has credits in other banks,radio/TV,1957,<100 DM,employed from 4 to 7 years,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",31,none,own,1,skilled employee/official,1,none,yes,1
394,No account,9,Has credits in other banks,furnitures,2406,<100 DM,unemployed,2,male single,none,3,"car or other, not in attribute 6",31,none,own,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
395,<200 DM,39,Delay in paying in past,education,11760,100-500 DM,employed from 4 to 7 years,2,male single,none,3,unknown/no property,32,none,rent,1,skilled employee/official,1,yes,yes,1
396,0 DM,12,Existing credits paid duly till now,furnitures,2578,<100 DM,unemployed,3,female divorced/separated/married,none,4,unknown/no property,55,none,for free,1,management/self-employed/highly qualified employee/officer,1,none,yes,1
397,0 DM,36,Has credits in other banks,furnitures,2348,<100 DM,employed from 1 to 4 years,3,male married/widowed,none,2,building society savings agreement/life insurance,46,none,own,2,skilled employee/official,1,yes,yes,1
398,<200 DM,12,Existing credits paid duly till now,new car,1223,<100 DM,employed 7 years or more,1,male divorced/separated,none,1,real estate,46,none,rent,2,skilled employee/official,1,none,yes,2
399,No account,24,Has credits in other banks,radio/TV,1516,>1000 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,1,real estate,43,none,own,2,unskilled - resident,1,none,yes,1
400,No account,18,Existing credits paid duly till now,radio/TV,1473,<100 DM,employed under 1 year,3,male married/widowed,none,4,real estate,39,none,own,1,skilled employee/official,1,yes,yes,1
401,<200 DM,18,Has credits in other banks,business,1887,Unknown/No savings,employed from 1 to 4 years,4,male married/widowed,none,4,real estate,28,bank,own,2,skilled employee/official,1,none,yes,1
402,No account,24,Delay in paying in past,business,8648,<100 DM,employed under 1 year,2,male single,none,2,"car or other, not in attribute 6",27,bank,own,2,skilled employee/official,1,yes,yes,2
403,No account,14,Delay in paying in past,new car,802,<100 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",27,none,own,2,unskilled - resident,1,none,yes,1
404,<200 DM,18,Delay in paying in past,new car,2899,Unknown/No savings,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",43,none,own,1,skilled employee/official,2,none,yes,1
405,<200 DM,24,Existing credits paid duly till now,radio/TV,2039,<100 DM,employed under 1 year,1,male married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,yes,yes,2
406,No account,24,Has credits in other banks,used car,2197,Unknown/No savings,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",43,none,own,2,skilled employee/official,2,yes,yes,1
407,0 DM,15,Existing credits paid duly till now,radio/TV,1053,<100 DM,employed under 1 year,4,male married/widowed,none,2,real estate,27,none,own,1,skilled employee/official,1,none,no,1
